State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Bihar,Araria,Araria (Nagar Parishad),2836,779,2046,1608,108,8,1,2,1184,535,11
Delhi,New Delhi,New Delhi Municipal Corporation,20,0,0,0,0,18,1,1,0,1,5
Bihar,Araria,Forbesganj (Nagar Parishad),1275,31,1147,896,294,96,0,1,109,615,5
Himachal Pradesh,Bilaspur,Bilaspur (M Cl),58,0,54,54,53,4,0,0,47,2,0
Bihar,Araria,Jogabani (NP),2076,31,2045,285,121,0,0,0,320,839,0
Himachal Pradesh,Bilaspur,Ghumarwin (M Cl),52,2,43,43,38,3,0,4,41,0,0
Himachal Pradesh,Bilaspur,Naina Devi (M Cl),14,0,9,0,0,0,1,4,4,5,0
Himachal Pradesh,Sirmaur,Nahan (M Cl),304,135,166,152,125,1,0,2,0,0,0
Himachal Pradesh,Bilaspur,Talai (NP),36,4,30,29,28,0,0,2,13,3,0
Himachal Pradesh,Sirmaur,Paonta Sahib (M Cl),319,6,304,69,68,4,1,4,68,40,0
Himachal Pradesh,Sirmaur,Rajgarh (NP),152,0,148,89,89,2,2,0,141,6,0
Andhra Pradesh,East Godavari,Amalapuram (M),520,8,236,236,236,0,0,276,238,0,0
Gujarat,Ahmedabad,Ahmadabad (M Corp.),29246,4,28064,28064,43,969,3,206,28064,11,5
Andhra Pradesh,East Godavari,Gollaprolu,1437,72,827,827,827,0,0,538,827,0,0
Andhra Pradesh,East Godavari,Kakinada (M Corp.),7207,66,4061,4061,4058,0,0,3080,4062,0,2
Andhra Pradesh,East Godavari,Mandapeta (M),593,11,309,309,308,0,0,273,309,0,0
Gujarat,Ahmedabad,Ahmadabad Cantonment (CB),0,0,0,0,0,0,0,0,0,0,0
Gujarat,Banas Kantha,Bhabhar (M),4434,3,3442,3442,0,0,0,989,3442,0,1
Andhra Pradesh,East Godavari,MUMMIDIVARAM,2888,75,1669,1669,1668,0,0,1144,1669,0,0
Gujarat,Ahmedabad,Bareja (M),2463,0,1602,1602,3,0,0,861,1602,0,0
