State,District,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Andaman & Nicobar Islands,South Andaman,12,9,0,0,0,0,0,3,0,0,46
Bihar,Araria,6187,841,5238,2789,523,104,1,3,1613,1989,16
Bihar,Arwal,4850,545,3508,742,218,26,2,769,1009,668,5
Bihar,Aurangabad,4603,834,3364,2445,1150,243,12,150,1559,686,23
Bihar,Banka,2826,887,1852,1738,946,78,4,5,920,302,6
Delhi,All Delhi JJ Clusters,46,28,0,0,0,0,2,16,2,1,1
Bihar,Begusarai,48104,8985,36405,34439,19267,923,25,1766,6785,9307,20
Delhi,Central,14,6,2,1,0,5,1,0,1,0,2
Bihar,Bhagalpur,16373,1477,14617,13246,9727,231,10,38,6185,3671,35
Bihar,Bhojpur,14077,2599,11054,9712,4734,152,11,261,3726,3203,11
Delhi,East,59,8,17,0,0,34,0,0,3,0,1
Delhi,New Delhi,20,0,0,0,0,18,1,1,0,1,5
Bihar,Buxar,4288,7,4206,3280,917,71,3,1,2176,874,12
Delhi,North,169,1,5,0,0,160,2,1,21,13,5
Delhi,North West,10183,97,303,303,292,9728,24,31,56,16,21
Daman & Diu,Daman,415,1,294,294,287,10,2,108,296,0,0
Bihar,Darbhanga,11487,3539,7509,6730,2451,414,8,17,3060,3736,28
Delhi,South,1108,12,150,150,19,939,3,4,157,6,1
Delhi,South West,2315,34,229,229,228,2033,5,14,230,4,17
Daman & Diu,Diu,682,4,375,375,272,292,0,11,375,1,1
Bihar,Gaya,20149,6372,12789,10012,8507,908,17,63,3483,4765,21
Bihar,Gopalganj,6595,340,6159,4353,1022,47,4,45,1424,1869,4
Delhi,West,33,2,4,4,4,25,1,1,4,1,3
Bihar,Jamui,8149,1913,6157,6057,1209,25,0,54,2619,2813,5
Bihar,Jehanabad,6402,1814,4546,3758,1627,22,3,17,676,2058,5
Himachal Pradesh,Bilaspur,160,6,136,126,119,7,1,10,105,10,0
Bihar,Kaimur(Bhabua),2586,103,2036,1932,864,427,5,15,1157,497,22
Bihar,Katihar,14727,1685,12826,9427,7073,171,7,38,308,5803,7
Himachal Pradesh,Chamba,276,146,111,104,102,15,0,4,25,1,0
Himachal Pradesh,Hamirpur,429,24,282,193,152,119,1,3,99,5,0
Bihar,Khagaria,6098,2474,3386,2028,501,228,3,7,656,431,7
Himachal Pradesh,Kangra,1903,341,740,604,556,536,4,282,239,26,2
Himachal Pradesh,Kullu,164,58,98,98,95,3,0,5,85,6,4
Bihar,Kishanganj,12549,3870,8571,7540,4307,93,10,5,2591,2984,2
Bihar,Lakhisarai,5531,44,5443,2318,1866,36,3,5,1373,958,1
Himachal Pradesh,Mandi,345,136,165,159,149,6,0,38,75,0,3
Himachal Pradesh,Shimla,460,47,218,208,194,190,1,4,193,0,1
Himachal Pradesh,Sirmaur,775,141,618,310,282,7,3,6,209,46,0
Bihar,Madhepura,9960,2027,7835,7751,6080,72,4,22,1726,6308,10
Bihar,Madhubani,16223,2863,13020,8433,3467,164,32,144,1987,5209,55
Himachal Pradesh,Solan,228,14,125,125,109,27,0,62,68,12,0
Bihar,Munger,10617,371,10204,8353,5837,34,5,3,2126,3532,9
Bihar,Muzaffarpur,13160,481,11850,6138,4407,767,8,54,2791,2864,16
Andhra Pradesh,Anantapur,52505,4100,21058,21058,21039,0,1,27346,21065,2,4
Himachal Pradesh,Una,867,278,506,456,370,82,0,1,325,0,1
Bihar,Nalanda,14335,993,13047,12890,9254,67,2,226,5574,4850,5
Bihar,Nawada,2394,253,2077,1880,1061,48,3,13,908,495,4
Andhra Pradesh,Chittoor,17089,251,6954,6954,6945,0,1,9883,6959,3,2
Andhra Pradesh,East Godavari,24668,576,13989,13989,13972,0,0,10103,13993,1,4
Bihar,Paschim Champaran,14696,2135,10359,9717,7314,1265,13,924,2702,3514,15
Bihar,Patna,33093,9351,19717,14473,8257,3750,28,247,5308,6842,42
Andhra Pradesh,Guntur,45751,1597,25198,25198,25181,0,3,18953,25205,4,2
Chhattisgarh,Balod,10058,1227,8081,7588,4220,739,7,4,7106,110,2
Bihar,Purba Champaran,35031,9097,19025,16716,8883,6617,33,259,3312,8278,13
Andhra Pradesh,Krishna,24486,366,14281,14281,14264,0,1,9838,14283,0,1
Chhattisgarh,Baloda Bazar,8397,1597,6596,6330,3695,199,2,3,6071,175,1
Chhattisgarh,Baloudabazar-Bhatapara,7154,1502,5246,3586,2383,397,0,9,5807,29,10
Bihar,Purnia,13942,2900,10443,7704,1955,585,8,6,3489,4659,16
Bihar,Rohtas,14336,3854,10239,6971,2421,151,8,84,4539,2353,13
Andhra Pradesh,Kurnool,43806,286,22262,22262,22246,0,4,21254,22270,0,6
Andhra Pradesh,Nellore,34331,5226,19678,19672,19647,0,2,9425,19681,5,1
Andhra Pradesh,Prakasam,31010,416,14969,14969,14954,0,2,15623,14972,3,7
Chhattisgarh,Balrampur,4050,328,3407,2021,287,298,3,14,3280,11,2
Chhattisgarh,Bastar,6645,65,5699,5443,3507,878,3,0,4512,0,0
Chhattisgarh,Bemetara,7699,695,6496,5475,3485,245,261,2,5653,20,6
Gujarat,Ahmedabad,44907,19,41312,41312,53,1149,6,2421,41316,11,6
Bihar,Saharsa,19672,7778,11728,11264,10419,95,50,21,2212,6222,17
Bihar,Samastipur,3136,1327,1469,898,679,251,13,76,843,738,37
Andhra Pradesh,Srikakulam,17692,529,8493,8493,8490,0,3,8667,8498,1,1
Chhattisgarh,Bijapur,4544,2173,2087,1999,1269,279,5,0,3277,5,0
Gujarat,Amreli,23702,11,20315,20314,0,162,0,3214,20317,0,2
Gujarat,Anand,35386,18,24357,24347,15,1206,0,9805,24347,0,4
Bihar,Saran,22042,3160,16728,12809,5140,458,19,1677,2224,5587,23
Andhra Pradesh,Visakhapatnam,34746,183,16642,16642,16622,0,3,17918,16650,3,7
Andhra Pradesh,Vizianagaram,23165,652,9966,9966,9960,0,3,12544,9967,1,0
Chhattisgarh,Bilaspur,29626,7388,18913,17298,9624,3307,14,4,22302,53,4
Chhattisgarh,Dantewada,6696,886,5037,5036,528,764,9,0,5893,9,0
Chhattisgarh,Dhamtari,13134,12,11348,11348,4669,1571,2,201,11309,5,2
